Date,Open,High,Low,Close,Adj Close,Volume
2024-09-12,1.3782783791626985,1.3763844359982442,1.4480027973719807,1.4176699062095586,1.4176699062095586,0.35702100803768827
2024-09-11,1.3949288629803456,1.3475756138328383,1.3501513035014543,1.3752027005218306,1.3752027005218306,0.6115326432981807
2024-09-10,1.3607631674963554,1.349626566000109,1.3974500409258683,1.391756372222469,1.391756372222469,-0.03726432284975658
2024-09-09,1.2432138528367411,1.3502180847964116,1.2963667321893693,1.3576689413659835,1.3576689413659835,0.41898954978426733
2024-09-08,1.2050487232838925,1.204843985070431,1.243927732714302,1.2396699875339512,1.2396699875339512,-0.8759862286092934
2024-09-07,1.1942686301531908,1.1802962202789302,1.2487188344161586,1.2016432444127758,1.2016432444127758,-0.8131614268967845
2024-09-06,1.3141432223946592,1.2937176948019353,1.18536094136265,1.1912984186141247,1.1912984186141247,1.5867464286798196
2024-09-05,1.4123540778925296,1.3639821701507402,1.358206416095087,1.3111269773860355,1.3111269773860355,0.13481899503389505
2024-09-04,1.3830048352034072,1.375175403409209,1.3560254128988651,1.4092467886495066,1.4092467886495066,0.49895299369252527
2024-09-03,1.4738603535707095,1.4443268685027284,1.4532801700842448,1.3799622739292439,1.3799622739292439,-0.2107748478664962
2024-09-02,1.3774000975859666,1.4224703816068727,1.4372298961174406,1.4710611049096567,1.4710611049096567,-0.181509361909039
2024-09-01,1.4664659817033974,1.4043799861325,1.4417700908595894,1.3742448262151366,1.3742448262151366,-0.3750851238062779
2024-08-31,1.4744724399288147,1.4240364475142142,1.5278650393768975,1.463336347067551,1.463336347067551,-1.3405051614885162
2024-08-30,1.4891711869092796,1.4486680329064467,1.4723402173597582,1.4714403537867415,1.4714403537867415,0.23481255162907985
2024-08-29,1.4695925556867384,1.5169547664860887,1.5288331405665674,1.4859980928256937,1.4859980928256937,0.22944520444420355
2024-08-28,1.4956406523754162,1.4666820349219247,1.4791208114146974,1.4664640667352793,1.4664640667352793,0.8681944627353491
2024-08-27,1.6784414088441135,1.624474315799346,1.491670045127347,1.492280079582547,1.492280079582547,0.7742832646298953
2024-08-26,1.7577318021528705,1.692321786990343,1.7543901707856127,1.675215109717247,1.675215109717247,-0.13037614134737455
2024-08-25,1.7487397168246763,1.719203265849051,1.8090101734569026,1.7539298395085126,1.7539298395085126,-0.8316796365584981
2024-08-24,1.7448091356942406,1.6935992553863048,1.7971531542990227,1.7455565660865917,1.7455565660865917,-0.6255185364681346
2024-08-23,1.5429713549753195,1.7165846678413823,1.616862626151535,1.7409714471626374,1.7409714471626374,1.0456869922866574
